Date,Open,High,Low,Close,Adj Close,Volume,,,,
12/20/2022,3634.449951,3634.449951,3563.199951,3614.199951,3614.199951,195335,,,,
12/21/2022,3619.949951,3673.649902,3475,3544.699951,3544.699951,328200,,,,
12/22/2022,3545,3584,3410.300049,3551.550049,3551.550049,239705,,,,
12/23/2022,3503.5,3551,3176,3232.600098,3232.600098,417221,,,,
12/26/2022,3239.949951,3359.699951,3100.100098,3311.699951,3311.699951,230869,,,,
12/27/2022,3328,3374.699951,3286.949951,3352.899902,3352.899902,131985,,,,
12/28/2022,3335,3629.949951,3328,3605.800049,3605.800049,768728,,,,
12/29/2022,3560,3999,3508,3793,3793,768731,,,,
12/30/2022,3861.949951,3887.800049,3646,3692.850098,3692.850098,686265,,,,
1/2/2023,3700,3730,3530,3550.600098,3550.600098,332645,,,,
1/3/2023,3568,3650,3502,3598.649902,3598.649902,307015,,,,
1/4/2023,3584.949951,3599.949951,3450,3477.300049,3477.300049,365884,,,,
1/5/2023,3509.899902,3669.949951,3472.050049,3633.699951,3633.699951,468166,,,,
1/6/2023,3626,3629.949951,3521,3555.399902,3555.399902,283873,,,,
1/9/2023,3591,3666,3576.600098,3629,3629,471678,,,,
1/10/2023,3630,3699,3490,3656.399902,3656.399902,445188,,,,
1/11/2023,3656.399902,3668,3572.550049,3616.5,3616.5,302285,,,,
1/12/2023,3599,3675,3552,3649.050049,3649.050049,453399,,,,
1/13/2023,3649.949951,3742,3615.600098,3715.100098,3715.100098,566844,,,,
1/16/2023,3693.699951,3739.899902,3652,3730.699951,3730.699951,180696,,,,
1/17/2023,3727.699951,3899,3695.050049,3850,3850,732003,,,,
1/18/2023,3862.149902,3884,3776,3805.449951,3805.449951,487214,,,,
1/19/2023,3785,3879,3735,3835.550049,3835.550049,461226,,,,
1/20/2023,3835.550049,3935,3802,3918.899902,3918.899902,447521,,,,
1/23/2023,3939,4000,3865.149902,3901.100098,3901.100098,564577,,,,
1/24/2023,3936,3940,3851,3891.75,3891.75,350178,,,,
1/25/2023,3870,3884.850098,3600,3660,3660,515358,,,,
1/27/2023,3477,3477,2928,2928,2928,1237800,,,,
1/30/2023,2501,2538,2342.399902,2342.399902,2342.399902,1888555,,,,
1/31/2023,2145,2155,2108.199951,2108.199951,2108.199951,531326,,,,
2/1/2023,1951,1998.800049,1897.400024,1897.400024,1897.400024,1570400,,,,
2/2/2023,1707.699951,1707.699951,1707.699951,1707.699951,1707.699951,64276,,,,
2/3/2023,1622.349976,1622.349976,1622.349976,1622.349976,1622.349976,62458,,,,
2/6/2023,1541.25,1541.25,1541.25,1541.25,1541.25,77660,,,,
2/7/2023,1464.199951,1519,1464.199951,1464.199951,1464.199951,3561024,,,,
2/8/2023,1391,1391,1391,1391,1391,420769,,,,
2/9/2023,1321.449951,1321.449951,1321.449951,1321.449951,1321.449951,200127,,,,
2/10/2023,1255.400024,1255.400024,1255.400024,1255.400024,1255.400024,51732,,,,
2/13/2023,1192.650024,1192.650024,1192.650024,1192.650024,1192.650024,44997,,,,
2/14/2023,1133.050049,1133.050049,1133.050049,1133.050049,1133.050049,52107,,,,
2/15/2023,1076.400024,1076.400024,1076.400024,1076.400024,1076.400024,74780,,,,
2/16/2023,1022.599976,1130.199951,1022.599976,1022.599976,1022.599976,5922981,,,,
2/17/2023,992.299988,1015.400024,971.5,971.5,971.5,1300386,,,,
2/20/2023,922.950012,922.950012,922.950012,922.950012,922.950012,68313,,,,
2/21/2023,876.799988,876.799988,876.799988,876.799988,876.799988,124311,,,,
2/22/2023,833,833,833,833,833,61103,,,,
2/23/2023,791.349976,791.349976,791.349976,791.349976,791.349976,52041,,,,
2/24/2023,751.799988,751.799988,751.799988,751.799988,751.799988,141442,,,,
